TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
quae	O	_	O	_	_	O	_	_	_
forma	O	_	O	_	_	O	_	_	_
pulcherrima	O	_	O	_	_	O	_	_	_
Deiopea	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
conubio	O	_	O	_	_	O	_	_	_
iungam	O	_	O	_	_	O	_	_	_
stabili	O	_	O	_	_	O	_	_	_
propriamque	O	_	O	_	_	O	_	_	_
dicabo	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
omnis	O	_	O	_	_	O	_	_	_
ut	O	_	O	_	_	O	_	_	_
tecum	O	_	O	_	_	O	_	_	_
meritis	O	_	O	_	_	O	_	_	_
pro	O	_	O	_	_	O	_	_	_
talibus	O	_	O	_	_	O	_	_	_
annos	O	_	O	_	_	O	_	_	NoSpaceAfter
exigat	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
pulchra	O	_	O	_	_	O	_	_	_
faciat	O	_	O	_	_	O	_	_	_
te	O	_	O	_	_	O	_	_	_
prole	O	_	O	_	_	O	_	_	_
parentem	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
76	O	_	O	_	_	O	_	_	NoSpaceAfter
Aeolus	B-person	_	B-person	_	_	O	_	_	_
haec	O	_	O	_	_	O	_	_	_
contra	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
Tuus	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
O	O	_	O	_	_	O	_	_	_
regina	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quid	O	_	O	_	_	O	_	_	_
optes	O	_	O	_	_	O	_	_	NoSpaceAfter
explorare	O	_	O	_	_	O	_	_	_
labor	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
mihi	O	_	O	_	_	O	_	_	_
iussa	O	_	O	_	_	O	_	_	_
capessere	O	_	O	_	_	O	_	_	_
fas	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Tu	O	_	O	_	_	O	_	_	_
mihi	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quodcumque	O	_	O	_	_	O	_	_	_
hoc	O	_	O	_	_	O	_	_	_
regni	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
tu	O	_	O	_	_	O	_	_	_
sceptra	O	_	O	_	_	O	_	_	_
Iovemque	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter|Partial-0:5
concilias	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
tu	O	_	O	_	_	O	_	_	_
das	O	_	O	_	_	O	_	_	_
epulis	O	_	O	_	_	O	_	_	_
accumbere	O	_	O	_	_	O	_	_	_
divom	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
nimborumque	O	_	O	_	_	O	_	_	_
facis	O	_	O	_	_	O	_	_	_
tempestatumque	O	_	O	_	_	O	_	_	_
potentem	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	NoSpaceAfter
81	O	_	O	_	_	O	_	_	NoSpaceAfter
Haec	O	_	O	_	_	O	_	_	_
ubi	O	_	O	_	_	O	_	_	_
dicta	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
cavum	O	_	O	_	_	O	_	_	_
conversa	O	_	O	_	_	O	_	_	_
cuspide	O	_	O	_	_	O	_	_	_
montem	O	_	O	_	_	O	_	_	NoSpaceAfter
impulit	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
latus	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
ac	O	_	O	_	_	O	_	_	_
venti	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
velut	O	_	O	_	_	O	_	_	_
agmine	O	_	O	_	_	O	_	_	_
facto	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
qua	O	_	O	_	_	O	_	_	_
data	O	_	O	_	_	O	_	_	_
porta	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ruunt	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
terras	O	_	O	_	_	O	_	_	_
turbine	O	_	O	_	_	O	_	_	_
perflant	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Incubuere	O	_	O	_	_	O	_	_	_
mari	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
totumque	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
sedibus	O	_	O	_	_	O	_	_	_
imis	O	_	O	_	_	O	_	_	NoSpaceAfter
una	O	_	O	_	_	O	_	_	_
Eurusque	B-misc	_	B-misc	_	_	O	_	_	Partial-0:5
Notusque	B-misc	_	B-misc	_	_	O	_	_	Partial-0:5
ruunt	O	_	O	_	_	O	_	_	_
creberque	O	_	O	_	_	O	_	_	_
procellis	O	_	O	_	_	O	_	_	NoSpaceAfter
Africus	B-misc	_	B-misc	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
vastos	O	_	O	_	_	O	_	_	_
volvunt	O	_	O	_	_	O	_	_	_
ad	O	_	O	_	_	O	_	_	_
litora	O	_	O	_	_	O	_	_	_
fluctus	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Insequitur	O	_	O	_	_	O	_	_	_
clamorque	O	_	O	_	_	O	_	_	_
virum	O	_	O	_	_	O	_	_	_
stridorque	O	_	O	_	_	O	_	_	_
rudentum	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Eripiunt	O	_	O	_	_	O	_	_	_
subito	O	_	O	_	_	O	_	_	_
nubes	O	_	O	_	_	O	_	_	_
caelumque	O	_	O	_	_	O	_	_	_
diemque	O	_	O	_	_	O	_	_	NoSpaceAfter
Teucrorum	B-collective	_	B-collective.ethnic	_	_	O	_	_	_
ex	O	_	O	_	_	O	_	_	_
oculis	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
ponto	O	_	O	_	_	O	_	_	_
nox	O	_	O	_	_	O	_	_	_
incubat	O	_	O	_	_	O	_	_	_
atra	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Intonuere	O	_	O	_	_	O	_	_	_
poli	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
crebris	O	_	O	_	_	O	_	_	_
micat	O	_	O	_	_	O	_	_	_
ignibus	O	_	O	_	_	O	_	_	_
aether	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
praesentemque	O	_	O	_	_	O	_	_	_
viris	O	_	O	_	_	O	_	_	_
intentant	O	_	O	_	_	O	_	_	_
omnia	O	_	O	_	_	O	_	_	_
mortem	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Extemplo	O	_	O	_	_	O	_	_	_
Aeneae	B-person	_	B-person	_	_	O	_	_	_
solvuntur	O	_	O	_	_	O	_	_	_
frigore	O	_	O	_	_	O	_	_	_
membra	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	NoSpaceAfter
ingemit	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
duplicis	O	_	O	_	_	O	_	_	_
tendens	O	_	O	_	_	O	_	_	_
ad	O	_	O	_	_	O	_	_	_
sidera	O	_	O	_	_	O	_	_	_
palmas	O	_	O	_	_	O	_	_	NoSpaceAfter
talia	O	_	O	_	_	O	_	_	_
voce	O	_	O	_	_	O	_	_	_
refert	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
O	O	_	O	_	_	O	_	_	_
terque	O	_	O	_	_	O	_	_	_
quaterque	O	_	O	_	_	O	_	_	_
beati	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
quis	O	_	O	_	_	O	_	_	_
ante	O	_	O	_	_	O	_	_	_
ora	O	_	O	_	_	O	_	_	_
patrum	O	_	O	_	_	O	_	_	_
Troiae	B-place	_	B-place	_	_	O	_	_	_
sub	O	_	O	_	_	O	_	_	_
moenibus	O	_	O	_	_	O	_	_	_
altis	O	_	O	_	_	O	_	_	NoSpaceAfter
contigit	O	_	O	_	_	O	_	_	_
oppetere	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	EndOfSentence
O	O	_	O	_	_	O	_	_	_
Danaum	B-collective	_	B-collective.ethnic	_	_	O	_	_	_
fortissime	O	_	O	_	_	O	_	_	_
gentis	O	_	O	_	_	O	_	_	NoSpaceAfter
Tydide	B-person	_	B-person.ancestry	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	EndOfSentence
Mene	O	_	O	_	_	O	_	_	_
Iliacis	B-place	_	B-place	_	_	O	_	_	_
occumbere	O	_	O	_	_	O	_	_	_
campis	O	_	O	_	_	O	_	_	NoSpaceAfter
non	O	_	O	_	_	O	_	_	_
potuisse	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
tuaque	O	_	O	_	_	O	_	_	_
animam	O	_	O	_	_	O	_	_	_
hanc	O	_	O	_	_	O	_	_	_
effundere	O	_	O	_	_	O	_	_	_
dextra	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
saevus	O	_	O	_	_	O	_	_	_
ubi	O	_	O	_	_	O	_	_	_
Aeacidae	B-person	_	B-person	_	_	O	_	_	_
telo	O	_	O	_	_	O	_	_	_
iacet	O	_	O	_	_	O	_	_	_
Hector	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ubi	O	_	O	_	_	O	_	_	_
ingens	O	_	O	_	_	O	_	_	NoSpaceAfter
Sarpedon	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ubi	O	_	O	_	_	O	_	_	_
tot	O	_	O	_	_	O	_	_	_
Simois	B-place	_	B-place	_	_	O	_	_	_
correpta	O	_	O	_	_	O	_	_	_
sub	O	_	O	_	_	O	_	_	_
undis	O	_	O	_	_	O	_	_	NoSpaceAfter
scuta	O	_	O	_	_	O	_	_	_
virum	O	_	O	_	_	O	_	_	_
galeasque	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
fortia	O	_	O	_	_	O	_	_	_
corpora	O	_	O	_	_	O	_	_	_
volvit	O	_	O	_	_	O	_	_	NoSpaceAfter
?	O	_	O	_	_	O	_	_	EndOfSentence
102	O	_	O	_	_	O	_	_	NoSpaceAfter
Talia	O	_	O	_	_	O	_	_	_
iactanti	O	_	O	_	_	O	_	_	_
stridens	O	_	O	_	_	O	_	_	_
Aquilone	B-misc	_	B-misc	_	_	O	_	_	_
procella	O	_	O	_	_	O	_	_	NoSpaceAfter
velum	O	_	O	_	_	O	_	_	_
adversa	O	_	O	_	_	O	_	_	_
ferit	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
fluctusque	O	_	O	_	_	O	_	_	_
ad	O	_	O	_	_	O	_	_	_
sidera	O	_	O	_	_	O	_	_	_
tollit	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Franguntur	O	_	O	_	_	O	_	_	_
remi	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
tum	O	_	O	_	_	O	_	_	_
prora	O	_	O	_	_	O	_	_	_
avertit	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
undis	O	_	O	_	_	O	_	_	NoSpaceAfter
dat	O	_	O	_	_	O	_	_	_
latus	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
insequitur	O	_	O	_	_	O	_	_	_
cumulo	O	_	O	_	_	O	_	_	_
praeruptus	O	_	O	_	_	O	_	_	_
aquae	O	_	O	_	_	O	_	_	_
mons	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Hi	O	_	O	_	_	O	_	_	_
summo	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
fluctu	O	_	O	_	_	O	_	_	_
pendent	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
his	O	_	O	_	_	O	_	_	_
unda	O	_	O	_	_	O	_	_	_
dehiscens	O	_	O	_	_	O	_	_	NoSpaceAfter
terram	O	_	O	_	_	O	_	_	_
inter	O	_	O	_	_	O	_	_	_
fluctus	O	_	O	_	_	O	_	_	_
aperit	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
furit	O	_	O	_	_	O	_	_	_
aestus	O	_	O	_	_	O	_	_	_
harenis	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence

# evalatin2026:version = v0.1
# evalatin2026:original_source = data/preparation/corpus/la/curated/Sallust_Catilina 1.11_lat.xmi
# evalatin2026:license = CC-BY
# evalatin2026:document_id = Sallust_Catilina 1
# evalatin2026:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT MISC
[	O	_	O	_	_	O	_	_	NoSpaceAfter
1	O	_	O	_	_	O	_	_	NoSpaceAfter
]	O	_	O	_	_	O	_	_	_
1	O	_	O	_	_	O	_	_	_
Omnis	O	_	O	_	_	O	_	_	_
homines	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	_
sese	O	_	O	_	_	O	_	_	_
student	O	_	O	_	_	O	_	_	_
praestare	O	_	O	_	_	O	_	_	_
ceteris	O	_	O	_	_	O	_	_	_
animalibus	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
summa	O	_	O	_	_	O	_	_	_
ope	O	_	O	_	_	O	_	_	_
niti	O	_	O	_	_	O	_	_	_
decet	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ne	O	_	O	_	_	O	_	_	_
vitam	O	_	O	_	_	O	_	_	_
silentio	O	_	O	_	_	O	_	_	_
transeant	O	_	O	_	_	O	_	_	_
veluti	O	_	O	_	_	O	_	_	_
pecora	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quae	O	_	O	_	_	O	_	_	_
natura	O	_	O	_	_	O	_	_	_
prona	O	_	O	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
ventri	O	_	O	_	_	O	_	_	_
oboedientia	O	_	O	_	_	O	_	_	_
finxit	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
2	O	_	O	_	_	O	_	_	_
Sed	O	_	O	_	_	O	_	_	_
nostra	O	_	O	_	_	O	_	_	_
omnis	O	_	O	_	_	O	_	_	_
vis	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
animo	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
corpore	O	_	O	_	_	O	_	_	_
sita	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
animi	O	_	O	_	_	O	_	_	_
imperio	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
corporis	O	_	O	_	_	O	_	_	_
servitio	O	_	O	_	_	O	_	_	_
magis	O	_	O	_	_	O	_	_	_
utimur	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
alterum	O	_	O	_	_	O	_	_	_
nobis	O	_	O	_	_	O	_	_	_
cum	O	_	O	_	_	O	_	_	_
dis	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
alterum	O	_	O	_	_	O	_	_	_
cum	O	_	O	_	_	O	_	_	_
beluis	O	_	O	_	_	O	_	_	_
commune	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
3	O	_	O	_	_	O	_	_	_
Quo	O	_	O	_	_	O	_	_	_
mihi	O	_	O	_	_	O	_	_	_
rectius	O	_	O	_	_	O	_	_	_
videtur	O	_	O	_	_	O	_	_	_
ingeni	O	_	O	_	_	O	_	_	_
quam	O	_	O	_	_	O	_	_	_
virium	O	_	O	_	_	O	_	_	_
opibus	O	_	O	_	_	O	_	_	_
gloriam	O	_	O	_	_	O	_	_	_
quaerere	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quoniam	O	_	O	_	_	O	_	_	_
vita	O	_	O	_	_	O	_	_	_
ipsa	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
qua	O	_	O	_	_	O	_	_	_
fruimur	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
brevis	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
memoriam	O	_	O	_	_	O	_	_	_
nostri	O	_	O	_	_	O	_	_	_
quam	O	_	O	_	_	O	_	_	_
maxume	O	_	O	_	_	O	_	_	_
longam	O	_	O	_	_	O	_	_	_
efficere	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
4	O	_	O	_	_	O	_	_	_
Nam	O	_	O	_	_	O	_	_	_
divitiarum	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
formae	O	_	O	_	_	O	_	_	_
gloria	O	_	O	_	_	O	_	_	_
fluxa	O	_	O	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
fragilis	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
virtus	O	_	O	_	_	O	_	_	_
clara	O	_	O	_	_	O	_	_	_
aeternaque	O	_	O	_	_	O	_	_	_
habetur	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
5	O	_	O	_	_	O	_	_	_
Sed	O	_	O	_	_	O	_	_	_
diu	O	_	O	_	_	O	_	_	_
magnum	O	_	O	_	_	O	_	_	_
inter	O	_	O	_	_	O	_	_	_
mortalis	O	_	O	_	_	O	_	_	_
certamen	O	_	O	_	_	O	_	_	_
fuit	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
vine	O	_	O	_	_	O	_	_	_
corporis	O	_	O	_	_	O	_	_	_
an	O	_	O	_	_	O	_	_	_
virtute	O	_	O	_	_	O	_	_	_
animi	O	_	O	_	_	O	_	_	_
res	O	_	O	_	_	O	_	_	_
militaris	O	_	O	_	_	O	_	_	_
magis	O	_	O	_	_	O	_	_	_
procederet	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
6	O	_	O	_	_	O	_	_	_
Nam	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
prius	O	_	O	_	_	O	_	_	_
quam	O	_	O	_	_	O	_	_	_
incipias	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
consulto	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
ubi	O	_	O	_	_	O	_	_	_
consulueris	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
mature	O	_	O	_	_	O	_	_	_
facto	O	_	O	_	_	O	_	_	_
opus	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
7	O	_	O	_	_	O	_	_	_
Ita	O	_	O	_	_	O	_	_	_
utrumque	O	_	O	_	_	O	_	_	_
per	O	_	O	_	_	O	_	_	_
se	O	_	O	_	_	O	_	_	_
indigens	O	_	O	_	_	O	_	_	_
alterum	O	_	O	_	_	O	_	_	_
alterius	O	_	O	_	_	O	_	_	_
auxilio	O	_	O	_	_	O	_	_	_
eget	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
[	O	_	O	_	_	O	_	_	NoSpaceAfter
2	O	_	O	_	_	O	_	_	NoSpaceAfter
]	O	_	O	_	_	O	_	_	_
1	O	_	O	_	_	O	_	_	_
Igitur	O	_	O	_	_	O	_	_	_
initio	O	_	O	_	_	O	_	_	_
reges	O	_	O	_	_	O	_	_	_
–	O	_	O	_	_	O	_	_	_
nam	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
terris	O	_	O	_	_	O	_	_	_
nomen	O	_	O	_	_	O	_	_	_
imperi	O	_	O	_	_	O	_	_	_
id	O	_	O	_	_	O	_	_	_
primum	O	_	O	_	_	O	_	_	_
fuit	O	_	O	_	_	O	_	_	_
–	O	_	O	_	_	O	_	_	_
divorsi	O	_	O	_	_	O	_	_	_
pars	O	_	O	_	_	O	_	_	_
ingenium	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
alii	O	_	O	_	_	O	_	_	_
corpus	O	_	O	_	_	O	_	_	_
exercebant	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
etiam	O	_	O	_	_	O	_	_	_
tum	O	_	O	_	_	O	_	_	_
vita	O	_	O	_	_	O	_	_	_
hominum	O	_	O	_	_	O	_	_	_
sine	O	_	O	_	_	O	_	_	_
cupiditate	O	_	O	_	_	O	_	_	_
agitabatur	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
sua	O	_	O	_	_	O	_	_	_
cuique	O	_	O	_	_	O	_	_	_
satis	O	_	O	_	_	O	_	_	_
placebant	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
2	O	_	O	_	_	O	_	_	_
Postea	O	_	O	_	_	O	_	_	_
vero	O	_	O	_	_	O	_	_	_
quam	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
Asia	B-place	_	B-place	_	_	O	_	_	_
Cyrus	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
Graecia	B-place	_	B-place	_	_	O	_	_	_
Lacedaemonii	B-collective	_	B-collective.ethnic	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
Athenienses	B-collective	_	B-collective.ethnic	_	_	O	_	_	_
coepere	O	_	O	_	_	O	_	_	_
urbis	O	_	O	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
nationes	O	_	O	_	_	O	_	_	_
subigere	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
lubidinem	O	_	O	_	_	O	_	_	_
dominandi	O	_	O	_	_	O	_	_	_
causam	O	_	O	_	_	O	_	_	_
belli	O	_	O	_	_	O	_	_	_
habere	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
maxumam	O	_	O	_	_	O	_	_	_
gloriam	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
maxumo	O	_	O	_	_	O	_	_	_
imperio	O	_	O	_	_	O	_	_	_
putare	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
tum	O	_	O	_	_	O	_	_	_
demum	O	_	O	_	_	O	_	_	_
periculo	O	_	O	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
negotiis	O	_	O	_	_	O	_	_	_
compertum	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
bello	O	_	O	_	_	O	_	_	_
plurumum	O	_	O	_	_	O	_	_	_
ingenium	O	_	O	_	_	O	_	_	_
posse	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
3	O	_	O	_	_	O	_	_	_
Quod	O	_	O	_	_	O	_	_	_
si	O	_	O	_	_	O	_	_	_
regum	O	_	O	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
imperatorum	O	_	O	_	_	O	_	_	_
animi	O	_	O	_	_	O	_	_	_
virtus	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
pace	O	_	O	_	_	O	_	_	_
ita	O	_	O	_	_	O	_	_	_
ut	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
bello	O	_	O	_	_	O	_	_	_
valeret	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
aequabilius	O	_	O	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
constantius	O	_	O	_	_	O	_	_	_
sese	O	_	O	_	_	O	_	_	_
res	O	_	O	_	_	O	_	_	_
humanae	O	_	O	_	_	O	_	_	_
haberent	O	_	O	_	_	O	_	_	_
neque	O	_	O	_	_	O	_	_	_
aliud	O	_	O	_	_	O	_	_	_
alio	O	_	O	_	_	O	_	_	_
ferri	O	_	O	_	_	O	_	_	_
neque	O	_	O	_	_	O	_	_	_
mutari	O	_	O	_	_	O	_	_	_
ac	O	_	O	_	_	O	_	_	_
misceri	O	_	O	_	_	O	_	_	_
omnia	O	_	O	_	_	O	_	_	_
cerneres	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
4	O	_	O	_	_	O	_	_	_
Nam	O	_	O	_	_	O	_	_	_
imperium	O	_	O	_	_	O	_	_	_
facile	O	_	O	_	_	O	_	_	_
iis	O	_	O	_	_	O	_	_	_
artibus	O	_	O	_	_	O	_	_	_
retinetur	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quibus	O	_	O	_	_	O	_	_	_
initio	O	_	O	_	_	O	_	_	_
partum	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
5	O	_	O	_	_	O	_	_	_
Verum	O	_	O	_	_	O	_	_	_
ubi	O	_	O	_	_	O	_	_	_
pro	O	_	O	_	_	O	_	_	_
labore	O	_	O	_	_	O	_	_	_
desidia	O	_	O	_	_	O	_	_	NoSpaceAfter
